Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C_0603_1608Metric,148.08,-138.68,148.08,-138.68,148.08,-138.68,T,180,0.1u
C2,C_0603_1608Metric,135.89,-136.14,135.89,-136.14,135.89,-136.14,T,0,0.1u
C3,C_0603_1608Metric,130.81,-124.96,130.81,-124.96,130.81,-124.96,T,180,1u
C4,C_0603_1608Metric,146.81,-149.09,146.81,-149.09,146.81,-149.09,T,180,0.1u
C5,C_0603_1608Metric,133.35,-144.27,133.35,-144.27,133.35,-144.27,T,0,0.1u
C6,1-0000007,108.83,-133.35,108.83,-133.35,108.83,-133.35,T,180,1-0000007
C7,1-0000007,123.31,-135.25,123.31,-135.25,123.31,-135.25,T,0,1-0000007
C8,1-0000007,108.83,-131.57,108.83,-131.57,108.83,-131.57,T,180,1-0000007
C9,1-0000007,123.31,-133.35,123.31,-133.35,123.31,-133.35,T,0,1-0000007
C10,C_0603_1608Metric,103.12,-152.52,103.12,-152.52,103.12,-152.52,T,-90,10u
C11,C_0603_1608Metric,101.21,-152.52,101.21,-152.52,101.21,-152.52,T,-90,1u
C12,1-0000007,104.01,-159.13,104.01,-159.13,104.01,-159.13,T,180,1-0000007
C13,1-0000007,118.74,-162.17,118.74,-162.17,118.74,-162.17,T,0,1-0000007
C14,1-0000007,104.01,-160.78,104.01,-160.78,104.01,-160.78,T,180,1-0000007
C15,1-0000007,118.74,-160.40,118.74,-160.40,118.74,-160.40,T,0,1-0000007
C16,C_0603_1608Metric,129.15,-154.30,129.15,-154.30,129.15,-154.30,T,90,0.1u
C17,C_0603_1608Metric,122.93,-102.10,122.93,-102.10,122.93,-102.10,T,-90,0.1u
C18,C_0603_1608Metric,125.47,-113.15,125.47,-113.15,125.47,-113.15,T,90,0.1u
C19,C_0603_1608Metric,94.36,-110.10,94.36,-110.10,94.36,-110.10,T,0,47pF
C20,C_0603_1608Metric,94.36,-106.80,94.36,-106.80,94.36,-106.80,T,0,10nF
C21,1-0000075,129.46,-120.01,129.46,-120.01,129.46,-120.01,T,-90,1-0000075
C22,1-0000075,126.36,-123.19,126.36,-123.19,126.36,-123.19,T,180,1-0000075
C23,1-0000018,126.36,-125.09,126.36,-125.09,126.36,-125.09,T,180,1-0000018
C24,1-0000075,97.02,-121.51,97.02,-121.51,97.02,-121.51,T,-90,1-0000075
C25,1-0000075,79.95,-112.42,79.95,-112.42,79.95,-112.42,T,180,1-0000075
C26,1-0000018,79.95,-110.54,79.95,-110.54,79.95,-110.54,T,180,1-0000018
D8,D_SOD-123F,131.92,-120.01,131.92,-120.01,131.92,-120.01,T,-90,D_Schottky
