Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,1-0000007,123.44,-158.24,123.44,-158.24,123.44,-158.24,T,90,1-0000007
C2,1-0000007,121.92,-168.91,121.92,-168.91,121.92,-168.91,T,-90,1-0000007
C3,1-0000017,130.83,-166.37,130.83,-166.37,130.83,-166.37,T,180,1-0000017
C4,1-0000017,130.81,-161.03,130.81,-161.03,130.81,-161.03,T,180,1-0000017
C5,1-0000007,140.97,-131.06,140.97,-131.06,140.97,-131.06,T,0,1-0000007
C6,1-0000007,126.23,-130.04,126.23,-130.04,126.23,-130.04,T,180,1-0000007
C7,1-0000007,126.23,-128.27,126.23,-128.27,126.23,-128.27,T,180,1-0000007
C8,1-0000007,133.60,-121.41,133.60,-121.41,133.60,-121.41,T,90,1-0000007
C9,1-0000007,140.97,-129.28,140.97,-129.28,140.97,-129.28,T,0,1-0000007
C10,1-0000075,107.18,-132.84,107.18,-132.84,107.18,-132.84,T,180,1-0000075
C11,1-0000075,114.80,-136.39,114.80,-136.39,114.80,-136.39,T,-90,1-0000075
C12,1-0000018,116.84,-136.39,116.84,-136.39,116.84,-136.39,T,-90,1-0000018
C13,1-0000075,118.36,-131.06,118.36,-131.06,118.36,-131.06,T,-90,1-0000075
C14,1-0000075,114.04,-155.44,114.04,-155.44,114.04,-155.44,T,180,1-0000075
C15,1-0000018,114.04,-157.48,114.04,-157.48,114.04,-157.48,T,180,1-0000018
C16,1-0000007,114.04,-159.25,114.04,-159.25,114.04,-159.25,T,180,1-0000007
C17,1-0000007,125.22,-171.70,125.22,-171.70,125.22,-171.70,T,0,1-0000007
C18,C_0603_1608Metric,131.57,-145.28,131.57,-145.28,131.57,-145.28,T,180,0.1u
C19,C_0603_1608Metric,131.57,-143.51,131.57,-143.51,131.57,-143.51,T,0,0.1u
D1,LED_0805_2012Metric,115.82,-114.30,115.82,-114.30,115.82,-114.30,T,-90,Green
D2,LED_0805_2012Metric,139.70,-174.24,139.70,-174.24,139.70,-174.24,T,0,Yellow
D3,LED_0805_2012Metric,139.70,-171.95,139.70,-171.95,139.70,-171.95,T,0,Red
D4,D_SOD-123F,111.50,-132.84,111.50,-132.84,111.50,-132.84,T,0,D_Schottky
D5,LED_0805_2012Metric,113.53,-114.30,113.53,-114.30,113.53,-114.30,T,-90,Yellow
D6,LED_0805_2012Metric,111.25,-114.30,111.25,-114.30,111.25,-114.30,T,-90,Red
D7,LED_0805_2012Metric,108.96,-114.30,108.96,-114.30,108.96,-114.30,T,-90,Blue
D8,LED_0805_2012Metric,106.68,-114.30,106.68,-114.30,106.68,-114.30,T,-90,Yellow
FID1,Fiducial_1mm_Mask2mm,143.51,-26.92,143.51,-26.92,143.51,-26.92,T,0,Fiducial
FID2,Fiducial_1mm_Mask2mm,103.88,-175.76,103.88,-175.76,103.88,-175.76,T,0,Fiducial
J1,MiniUSB,141.22,-163.83,141.22,-163.83,141.22,-163.83,T,90,Mini_USB_B
Q1,SOT-23,114.04,-165.60,114.04,-165.60,114.04,-165.60,T,90,2N7002
R1,1-0000008,115.82,-117.85,115.82,-117.85,115.82,-117.85,T,-90,1-0000008
R2,1-0000006,125.22,-158.24,125.22,-158.24,125.22,-158.24,T,90,1-0000006
R3,1-0000013,131.82,-121.41,131.82,-121.41,131.82,-121.41,T,90,1-0000013
R4,1-0000013,130.04,-121.41,130.04,-121.41,130.04,-121.41,T,90,1-0000013
R5,1-0000010,114.04,-168.40,114.04,-168.40,114.04,-168.40,T,180,1-0000010
R6,1-0000010,114.04,-162.81,114.04,-162.81,114.04,-162.81,T,180,1-0000010
R7,1-0000012,130.81,-164.59,130.81,-164.59,130.81,-164.59,T,0,1-0000012
R8,1-0000012,130.81,-162.81,130.81,-162.81,130.81,-162.81,T,0,1-0000012
R9,1-0000006,116.84,-165.60,116.84,-165.60,116.84,-165.60,T,90,1-0000006
R10,1-0000008,136.14,-174.24,136.14,-174.24,136.14,-174.24,T,180,1-0000008
R11,1-0000008,136.14,-171.95,136.14,-171.95,136.14,-171.95,T,180,1-0000008
R12,1-0000010,135.38,-121.41,135.38,-121.41,135.38,-121.41,T,-90,1-0000010
R13,1-0000174,107.18,-136.39,107.18,-136.39,107.18,-136.39,T,-90,1-0000174
R14,1-0000013,113.53,-117.85,113.53,-117.85,113.53,-117.85,T,90,1-0000013
R15,1-0000010,112.52,-124.71,112.52,-124.71,112.52,-124.71,T,180,1-0000010
R16,R_0603_1608Metric,138.43,-143.51,138.43,-143.51,138.43,-143.51,T,180,10k
R17,R_0603_1608Metric,134.11,-148.59,134.11,-148.59,134.11,-148.59,T,0,10k
R18,1-0000008,111.25,-117.85,111.25,-117.85,111.25,-117.85,T,-90,1-0000008
R19,R_0603_1608Metric,131.57,-147.82,131.57,-147.82,131.57,-147.82,T,90,10k
R20,R_0603_1608Metric,140.97,-134.87,140.97,-134.87,140.97,-134.87,T,0,10k
R21,R_0603_1608Metric,140.97,-136.65,140.97,-136.65,140.97,-136.65,T,0,NP
R22,1-0000006,121.92,-171.70,121.92,-171.70,121.92,-171.70,T,0,1-0000006
R23,1-0000008,108.96,-117.85,108.96,-117.85,108.96,-117.85,T,90,1-0000008
R24,1-0000008,106.68,-117.85,106.68,-117.85,106.68,-117.85,T,-90,1-0000008
R25,R_0603_1608Metric,138.43,-145.28,138.43,-145.28,138.43,-145.28,T,180,10k
R26,R_0603_1608Metric,138.43,-148.84,138.43,-148.84,138.43,-148.84,T,180,NP
R27,1-0000006,119.88,-116.58,119.88,-116.58,119.88,-116.58,T,-90,1-0000006
R28,1-0000010,119.88,-109.47,119.88,-109.47,119.88,-109.47,T,90,1-0000010
R29,R_0603_1608Metric,138.43,-147.06,138.43,-147.06,138.43,-147.06,T,0,10k
U1,SSOP-20_3.9x8.7mm_P0.635mm,123.95,-163.57,123.95,-163.57,123.95,-163.57,T,90,FT231XS
U2,SOT-23-5,111.50,-136.39,111.50,-136.39,111.50,-136.39,T,0,SPX3819M5-L-3-3
U3,TQFP-32_7x7mm_P0.8mm,133.60,-128.77,133.60,-128.77,133.60,-128.77,T,0,ATmega328P-AU
U6,PQFN50P200X200X80-10N,135.38,-145.54,135.38,-145.54,135.38,-145.54,T,0,BMP388
