Reference, Value, Footprint, Datasheet, Internal Part Number, Populated
"J1","Motor","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm","~","0-0000000","0"
"BZ1","Piezo","lib_fp:PS1240P02BT","~","1-0000443","1"
"U1","INA169","TO_SOT_Packages_SMD:SOT-23-5_HandSoldering","","1-0000452","1"
"C1","0.1u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000007","1"
"R2","10k","Resistors_SMD:R_0603_HandSoldering","~","1-0000010","1"
"R1","1","Resistors_THT:R_Axial_DIN0614_L14.3mm_D5.7mm_P20.32mm_Horizontal","~","1-0000453","1"
"R7","1k","Resistors_SMD:R_0603_HandSoldering","~","1-0000013","1"
"R6","1k","Resistors_SMD:R_0603_HandSoldering","~","1-0000013","1"
"Q1","MMBT3904","TO_SOT_Packages_SMD:SOT-23","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","1-0000036","1"
"C2","0.1u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000007","1"
"R3","1M","Resistors_SMD:R_0603_HandSoldering","~","1-0000009","1"
"R10","NP","Resistors_SMD:R_0603_HandSoldering","~","0-0000000","0"
"SW1","Configuration","lib_fp:KAE02LGGR","~","1-0000454","1"
"R4","10k","Resistors_SMD:R_0603_HandSoldering","~","1-0000010","1"
"R5","10k","Resistors_SMD:R_0603_HandSoldering","~","1-0000010","1"
"R8","27k","Resistors_SMD:R_0603_HandSoldering","~","1-0000078","1"
"R9","10k","Resistors_SMD:R_0603_HandSoldering","~","1-0000010","1"
"H1","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_ISO7380","~","0-0000000","0"
"H2","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_ISO7380","~","0-0000000","0"
"H3","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_ISO7380","~","0-0000000","0"
"H4","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_ISO7380","~","0-0000000","0"
"FID1","Fiducial","Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop","~","0-0000000","0"
"FID2","Fiducial","Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop","~","0-0000000","0"
"FID3","Fiducial","Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop","~","0-0000000","0"
"FID4","Fiducial","Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop","~","0-0000000","0"
"U2","STM32F103CBT6","Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf","1-0000207","1"
"C7","0.1u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000007","1"
"C6","0.1u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000007","1"
"C9","0.1u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000007","1"
"C8","0.1u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000007","1"
"R18","1M","Resistors_SMD:R_0603_HandSoldering","~","1-0000009","1"
"Y1","8MHz","Crystals:Crystal_SMD_HC49-SD_HandSoldering","~","1-0000206","1"
"C4","20pF","Capacitors_SMD:C_0603_HandSoldering","~","1-0000204","1"
"C5","20pF","Capacitors_SMD:C_0603_HandSoldering","~","1-0000204","1"
"J2","Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~","0-0000000","0"
"J6","UART1","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","~","0-0000000","0"
"J3","ISP","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","~","0-0000000","0"
"J4","Spares 2","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","~","0-0000000","0"
"J5","Spares 1","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","~","0-0000000","0"
"R12","100k","Resistors_SMD:R_0603_HandSoldering","~","1-0000174","1"
"R11","100k","Resistors_SMD:R_0603_HandSoldering","~","1-0000174","1"
"R14","0R0","Resistors_SMD:R_0603_HandSoldering","~","1-0000006","1"
"R17","0R0","Resistors_SMD:R_0603_HandSoldering","~","1-0000006","1"
"R13","NP","Resistors_SMD:R_0603_HandSoldering","~","0-0000000","0"
"R16","NP","Resistors_SMD:R_0603_HandSoldering","~","0-0000000","0"
"R15","10k","Resistors_SMD:R_0603_HandSoldering","~","1-0000010","1"
"C3","1u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000018","1"
"C10","10u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000005","1"
"C11","1u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000018","1"
"C12","0.1u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000007","1"
"U3","LT1521-3.3","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","","1-0000196","1"
"C13","10u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000005","1"
"C14","1u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000018","1"
"C15","0.1u","Capacitors_SMD:C_0603_HandSoldering","~","1-0000007","1"
"J7","Battery","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~","0-0000000","0"
"F1","Polyfuse","lib_fp:RGEF250","~","1-0000269","1"
"J8","External Power Switch","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~","0-0000000","0"
