Reference, Value, Footprint, Datasheet, Internal Part Number, Populated, PValue
"J1","RockBlock9603","lib_fp:picoblade","~","1-0000790","1",""
"U5","ublox_SAM-M8Q","RF_GPS:ublox_SAM-M8Q","https://www.u-blox.com/sites/default/files/SAM-M8Q_DataSheet_%28UBX-16012619%29.pdf","1-0000446","1",""
"BT1","CR1220","lib_fp:S8411-45R","~","1-0000246","1",""
"C11","1-0000007","capacitors_0603:1-0000007","~","1-0000007","1","0.1uF"
"C9","1-0000007","capacitors_0603:1-0000007","~","1-0000007","1","0.1uF"
"U1","XBee","lib_fp:XBee","","1-0000785","1",""
"U3","TSR2","lib_fp:TSR 2-2450","","1-0000748","1",""
"J4","Battery","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","0-0000000","0",""
"SW1","SW_SPST","lib_fp:SW_GF-123-0054","~","1-0000786","1",""
"J3","Switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","0-0000000","0",""
"U6","MIC5219-3.3YM5","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/MIC5219-500mA-Peak-Output-LDO-Regulator-DS20006021A.pdf","1-0000658","1",""
"F1","Polyfuse","Fuse:Fuse_1812_4532Metric","~","1-0000002","1",""
"C10","1-0000007","capacitors_0603:1-0000007","~","1-0000007","1","0.1uF"
"C14","1-0000007","capacitors_0603:1-0000007","~","1-0000007","1","0.1uF"
"J2","ICSP","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","0-0000000","0",""
"C5","1-0000018","capacitors_0603:1-0000018","~","1-0000018","1","1uF"
"C7","1-0000007","capacitors_0603:1-0000007","~","1-0000007","1","0.1uF"
"U2","ATmega328P-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","","1-0000566","1",""
"C6","1-0000007","capacitors_0603:1-0000007","~","1-0000007","1","0.1uF"
"Y1","16MHz","lib_fp:Resonator","~","1-0000569","1",""
"R5","1-0000010","resistors_0603:1-0000010","~","1-0000010","1","10k"
"C1","1-0000007","capacitors_0603:1-0000007","~","1-0000007","1","0.1uF"
"C2","1-0000007","capacitors_0603:1-0000007","~","1-0000007","1","0.1uF"
"C3","1-0000007","capacitors_0603:1-0000007","~","1-0000007","1","0.1uF"
"R10","1-0000006","resistors_0603:1-0000006","~","1-0000006","1","0R0"
"R11","1-0000006","resistors_0603:1-0000006","~","1-0000006","1","0R0"
"R12","1-0000006","resistors_0603:1-0000006","~","1-0000006","1","0R0"
"R13","1-0000006","resistors_0603:1-0000006","~","1-0000006","1","0R0"
"R14","1-0000006","resistors_0603:1-0000006","~","1-0000006","1","0R0"
"R15","1-0000006","resistors_0603:1-0000006","~","1-0000006","1","0R0"
"R8","1-0000008","resistors_0603:1-0000008","~","1-0000008","1","150"
"D2","Blue","LED_SMD:LED_0805_2012Metric","~","1-0000599","1",""
"R9","1-0000008","resistors_0603:1-0000008","~","1-0000008","1","150"
"D3","Yellow","LED_SMD:LED_0805_2012Metric","~","1-0000601","1",""
"R7","1-0000006","resistors_0603:1-0000006","~","1-0000006","0","NP"
"C8","1-0000007","capacitors_0603:1-0000007","~","1-0000007","0","0.1uF"
"R16","1-0000010","resistors_0603:1-0000010","~","1-0000010","0","NP"
"R18","1-0000010","resistors_0603:1-0000010","~","1-0000010","0","NP"
"R17","1-0000008","resistors_0603:1-0000008","~","1-0000008","1","150"
"D4","Green","LED_SMD:LED_0805_2012Metric","~","1-0000598","1",""
"R6","1-0000008","resistors_0603:1-0000008","~","1-0000008","1","150"
"D1","Blue","LED_SMD:LED_0805_2012Metric","~","1-0000599","1",""
"Q1","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","1-0000340","1",""
"R1","1-0000013","resistors_0603:1-0000013","~","1-0000013","1","1k"
"R2","1-0000013","resistors_0603:1-0000013","~","1-0000013","1","1k"
"Q2","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","1-0000340","1",""
"R3","1-0000013","resistors_0603:1-0000013","~","1-0000013","1","1k"
"R4","1-0000013","resistors_0603:1-0000013","~","1-0000013","1","1k"
"U4","RockBlockMechanical","lib_fp:RockBlock_Mechanical","","1-0000789","1",""
"FID1","Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","0-0000000","0",""
"FID2","Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","0-0000000","0",""
"H1","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","0-0000000","0",""
"H2","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","0-0000000","0",""
"H3","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","0-0000000","0",""
"H4","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","0-0000000","0",""
"C13","1-0000075","capacitors_0805:1-0000075","~","1-0000075","1","10uF"
"C12","1-0000075","capacitors_0805:1-0000075","~","1-0000075","1","10uF"
"C4","1-0000075","capacitors_0805:1-0000075","~","1-0000075","1","10uF"
"PCB1","barepcb","lib_fp:BarePCB","","3-0000068","1",""
